Key,Category,String,File,Line(s),Notes,Type,Requires_Parameters
settings.profile.error.displayNameRequired,Settings,Display name is required,app/(tabs)/settings.tsx,81,Validation error,Alert Message,No
settings.profile.error.updateFailed,Settings,Failed to update profile. Please try again.,app/(tabs)/settings.tsx,95,Update failure,Alert Message,No
settings.profile.success,Settings,Profile updated successfully!,app/(tabs)/settings.tsx,92,Update success,Alert Message,No
settings.avatar.actionSheet.title,Settings,Select Avatar,app/(tabs)/settings.tsx,113,Avatar selection title,Action Sheet Title,No
settings.avatar.option.camera,Settings,Take Photo,app/(tabs)/settings.tsx,105,Camera option,Action Sheet Option,No
settings.avatar.option.library,Settings,Choose from Library,app/(tabs)/settings.tsx,105,Gallery option,Action Sheet Option,No
settings.avatar.error.camera,Settings,Failed to take photo. Please try again.,app/(tabs)/settings.tsx,145,Photo capture error,Alert Message,No
settings.avatar.error.library,Settings,Failed to select image. Please try again.,app/(tabs)/settings.tsx,159,Image selection error,Alert Message,No
settings.avatar.error.upload,Settings,Failed to upload avatar. Please try again.,app/(tabs)/settings.tsx,188,Avatar upload error,Alert Message,No
settings.avatar.success,Settings,Avatar updated successfully!,app/(tabs)/settings.tsx,185,Avatar update success,Alert Message,No
settings.avatar.default.status,Settings,Hey there! I am using MessageAI,app/(tabs)/settings.tsx,300,Default user status,Default Text,No
settings.profile.unknownUser,Settings,Unknown User,app/(tabs)/settings.tsx,297,User name fallback,Fallback,No
contacts.header.title,Contacts,Contacts,app/(tabs)/contacts.tsx,377,Contacts page title,Header Title,No
contacts.search.feature,Contacts,Search feature coming soon!,app/(tabs)/contacts.tsx,381,Coming soon feature,Alert,No
contacts.menu.feature,Contacts,Menu feature coming soon!,app/(tabs)/contacts.tsx,387,Coming soon feature,Alert,No
contacts.tab.contacts,Contacts,Contacts,app/(tabs)/contacts.tsx,409,Contacts tab name,Tab Label,No
contacts.tab.status,Contacts,Status,app/(tabs)/contacts.tsx,425,Status tab name,Tab Label,No
contacts.search.placeholder,Contacts,Search contacts...,app/(tabs)/contacts.tsx,436,Search input placeholder,Placeholder,No
contacts.loading,Contacts,Loading contacts...,app/(tabs)/contacts.tsx,369,Initial load indicator,Loading Text,No
contacts.empty.title,Contacts,No contacts yet,app/(tabs)/contacts.tsx,448,Empty contact list,Empty State Title,No
contacts.empty.subtitle,Contacts,Add contacts from the new conversation screen,app/(tabs)/contacts.tsx,453,Empty state instruction,Empty State Subtitle,No
contacts.search.empty.title,Contacts,No contacts found,app/(tabs)/contacts.tsx,448,Search no results,Empty State Title,No
contacts.search.empty.subtitle,Contacts,Try a different search term,app/(tabs)/contacts.tsx,452,Search help text,Empty State Subtitle,No
contacts.remove.title,Contacts,Remove Contact,app/(tabs)/contacts.tsx,246,Remove confirmation title,Dialog Title,No
contacts.remove.message,Contacts,Remove {name} from your contacts?,app/(tabs)/contacts.tsx,247,Contact removal confirmation,Dialog Message,Yes
contacts.remove.cancel,Contacts,Cancel,app/(tabs)/contacts.tsx,249,Cancel removal button,Button,No
contacts.remove.confirm,Contacts,Remove,app/(tabs)/contacts.tsx,251,Confirm removal button,Button,No
contacts.action.success,Contacts,Contact action success,app/(tabs)/contacts.tsx,256,Action success title,Alert Title,No
contacts.action.removed,Contacts,Contact removed,app/(tabs)/contacts.tsx,256,Removal success,Alert Message,No
contacts.action.added,Contacts,{name} added to contacts,app/(tabs)/contacts.tsx,174,Add contact success,Alert Message,Yes
contacts.action.error,Contacts,Failed to add/remove contact,app/(tabs)/contacts.tsx,177,Contact action error,Alert Message,No
contacts.status.section.title,Contacts,Status,app/(tabs)/contacts.tsx,468,Status section heading,Section Title,No
contacts.status.recent.title,Contacts,Recent Updates,app/(tabs)/contacts.tsx,485,Recent status updates section,Section Title,No
contacts.status.empty.title,Contacts,No recent updates,app/(tabs)/contacts.tsx,495,Empty status list,Empty State Title,No
contacts.status.empty.subtitle,Contacts,When your contacts share status updates they will appear here,app/(tabs)/contacts.tsx,496,Empty state instruction,Empty State Subtitle,No
contacts.status.modal.title,Contacts,Add Status,app/(tabs)/contacts.tsx,523,Status creation dialog,Modal Title,No
contacts.status.modal.description,Contacts,Share what is on your mind,app/(tabs)/contacts.tsx,541,Status instruction,Modal Description,No
contacts.status.input.placeholder,Contacts,What's happening?,app/(tabs)/contacts.tsx,550,Status text input,Placeholder,No
contacts.status.counter,Contacts,{count}/140,app/(tabs)/contacts.tsx,559,Character limit counter,Counter,Yes
contacts.status.post,Contacts,Post,app/(tabs)/contacts.tsx,578,Post status button,Button,No
contacts.status.cancel,Contacts,Cancel,app/(tabs)/contacts.tsx,587,Cancel status button,Button,No
contacts.status.success,Contacts,Status updated successfully!,app/(tabs)/contacts.tsx,156,Status update success,Alert Message,No
contacts.status.error,Contacts,Failed to update status. Please try again.,app/(tabs)/contacts.tsx,159,Status update failure,Alert Message,No
contacts.myStatus.add,Contacts,Add status,app/(tabs)/contacts.tsx,282,Status prompt when empty,Status Label,No
contacts.myStatus.edit,Contacts,Tap to edit,app/(tabs)/contacts.tsx,285,Status instruction,Status Label,No
contacts.myStatus.newStatus,Contacts,Tap to add status,app/(tabs)/contacts.tsx,286,Status instruction,Status Label,No
contacts.presence.online,Contacts,Online,app/(tabs)/contacts.tsx,204,Contact online status,Status,No
contacts.presence.minutesAgo,Contacts,{time}m ago,app/(tabs)/contacts.tsx,194,Minutes ago format,Status,Yes
contacts.presence.hoursAgo,Contacts,{time}h ago,app/(tabs)/contacts.tsx,195,Hours ago format,Status,Yes
contacts.presence.daysAgo,Contacts,{time}d ago,app/(tabs)/contacts.tsx,196,Days ago format,Status,Yes
newChat.header.directMode,NewConversation,New Message,app/chat/new.tsx,362,Direct message mode title,Header Title,No
newChat.header.groupMode,NewConversation,New Group,app/chat/new.tsx,362,Group mode title,Header Title,No
newChat.backButton,NewConversation,Cancel,app/chat/new.tsx,359,Back button text,Button,No
newChat.mode.direct,NewConversation,Direct,app/chat/new.tsx,381,Direct message mode toggle,Tab,No
newChat.mode.group,NewConversation,Group,app/chat/new.tsx,394,Group mode toggle,Tab,No
newChat.selected.count,NewConversation,{count} selected,app/chat/new.tsx,402,Number of selected users,Counter,Yes
newChat.createGroup.button,NewConversation,Create Group,app/chat/new.tsx,409,Create group button,Button,No
newChat.search.placeholder,NewConversation,Search users...,app/chat/new.tsx,418,User search input,Placeholder,No
newChat.loading,NewConversation,Loading users...,app/chat/new.tsx,347,Initial load indicator,Loading Text,No
newChat.error.loadingUsers,NewConversation,Failed to load users,app/chat/new.tsx,67,User list load failure,Alert Message,No
newChat.error.notAuthenticated,NewConversation,User not authenticated,app/chat/new.tsx,107,Auth failure,Alert Message,No
newChat.error.groupSize,NewConversation,Please select at least 2 people to create a group,app/chat/new.tsx,196,Group size validation,Alert Message,No
newChat.error.createConversation,NewConversation,Failed to create conversation: {error},app/chat/new.tsx,158,Conversation creation error,Alert Message,Yes
newChat.error.createGroup,NewConversation,Failed to create group: {error},app/chat/new.tsx,232,Group creation error,Alert Message,Yes
newChat.section.contacts,NewConversation,Contacts ({count}),app/chat/new.tsx,430,Contacts list section,Section Header,Yes
newChat.section.allUsers,NewConversation,All Users ({count}),app/chat/new.tsx,444,All users section,Section Header,Yes
newChat.empty.search.title,NewConversation,No users found,app/chat/new.tsx,449,Search no results,Empty State Title,No
newChat.empty.noUsers.title,NewConversation,No users available,app/chat/new.tsx,449,No users exist,Empty State Title,No
newChat.empty.search.subtitle,NewConversation,Try a different search term,app/chat/new.tsx,453,Search help,Empty State Subtitle,No
newChat.empty.noUsers.subtitle,NewConversation,Other users need to sign up to start conversations,app/chat/new.tsx,454,No users help,Empty State Subtitle,No
newChat.presence.online,NewConversation,Online,app/chat/new.tsx,251,User online status,Status,No
newChat.presence.minutesAgo,NewConversation,{time}m ago,app/chat/new.tsx,252,Minutes ago,Status,Yes
newChat.presence.hoursAgo,NewConversation,{time}h ago,app/chat/new.tsx,253,Hours ago,Status,Yes
newChat.presence.daysAgo,NewConversation,{time}d ago,app/chat/new.tsx,254,Days ago,Status,Yes
chat.loading,Chat,Loading messages...,app/chat/[id].tsx,988,Initial message load,Loading Text,No
chat.loadingMore,Chat,Loading more messages...,app/chat/[id].tsx,1066,Pagination loading,Loading Indicator,No
chat.default.title,Chat,Chat,app/chat/[id].tsx,875,Fallback title,Default,No
chat.group.default,Chat,Group Chat,app/chat/[id].tsx,889,Default group name,Default,No
chat.unknownUser,Chat,Unknown User,app/chat/[id].tsx,902,Unknown user,Fallback,No
chat.image.label,Chat,Image selection,app/chat/[id].tsx,470,Image selection title,Title,No
chat.image.option.camera,Chat,Camera,app/chat/[id].tsx,472,Camera selection,Action,No
chat.image.option.library,Chat,Photo Library,app/chat/[id].tsx,473,Photo library selection,Action,No
chat.image.error.camera,Chat,Failed to take photo. Please try again.,app/chat/[id].tsx,486,Photo capture error,Alert Message,No
chat.image.error.library,Chat,Failed to select image. Please try again.,app/chat/[id].tsx,498,Image selection error,Alert Message,No
chat.image.error.send,Chat,Failed to send image. Please try again.,app/chat/[id].tsx,534,Image send error,Alert Message,No
chat.input.placeholder,Chat,Type a message...,app/chat/[id].tsx,1141,Message input placeholder,Placeholder,No
chat.send.button,Chat,Send,app/chat/[id].tsx,1155,Send message button,Button,No
chat.send.loading,Chat,...,app/chat/[id].tsx,1155,Sending indicator,Button,No
chat.image.preview.cancel,Chat,Cancel,app/chat/[id].tsx,1085,Cancel image preview,Button,No
chat.image.upload,Chat,Uploading {progress}%,app/chat/[id].tsx,1097,Upload progress,Button,Yes
chat.image.send,Chat,Send,app/chat/[id].tsx,1098,Send image button,Button,No
chat.translation.showOriginal,Chat,Tap to show translation,app/chat/[id].tsx,824,Switch to original text,Hint,No
chat.translation.source,Chat,Translated from {lang},app/chat/[id].tsx,825,Translation source,Info,Yes
chat.translation.loading,Chat,Translating...,app/chat/[id].tsx,835,Translation in progress,Indicator,No
chat.status.seen,Chat,Seen,app/chat/[id].tsx,867,Read indicator,Status,No
chat.presence.online,Chat,Online,app/chat/[id].tsx,1017,User online,Status,No
chat.presence.lastSeen,Chat,Last seen {time},app/chat/[id].tsx,1018,Last seen,Status,Yes
language.header.title,Language,Language,app/settings/language.tsx,112,Language settings title,Header Title,No
language.section.preferred,Language,Preferred Language,app/settings/language.tsx,119,Language selection section,Section Title,No
language.modal.title,Language,Select Language,app/settings/language.tsx,176,Language picker title,Modal Title,No
language.autoTranslate.title,Language,Auto-Translate Messages,app/settings/language.tsx,139,Auto-translate setting,Toggle Title,No
language.autoTranslate.subtitle,Language,Automatically translate incoming messages to your preferred language,app/settings/language.tsx,140,Auto-translate description,Toggle Subtitle,No
language.save.saving,Language,Saving...,app/settings/language.tsx,161,Save button loading,Button,No
language.save.button,Language,Save Preferences,app/settings/language.tsx,161,Save button,Button,No
language.success,Language,Language preferences saved successfully!,app/settings/language.tsx,64,Success message,Alert Message,No
language.error,Language,Failed to save preferences. Please try again.,app/settings/language.tsx,68,Error message,Alert Message,No
notifications.banner.image,Notifications,📷 Photo,components/InAppBanner.tsx,103,Image message indicator,Label,No
